Row,Questions / Types,INFJ,INFP,ENFP,ENFJ,INTJ,INTP,ENTP,ENTJ,ISFJ,ISFP,ESFP,ESFJ,ISTJ,ISTP,ESTP,ESTJ 
1,Do you love discussing abstract topics ?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
2,Do you love tradition ? Do you prefer to take the tried and true path than finding your own way of doing something ?,No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes
3,Are you a big picture person ?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
4,Do you love dealing with details ?,No,No,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes
5,"Do you love the mundane part of life ? (If No, it means it is boring for you and you love being immersed in your interests to escape the mundane tasks)",No,No,No,No,No,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes
6,"Do you love seeing patterns in eg. people's behaviors, making you love social psychology ?",Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No
7,Do you love knowing why people do the things they do ?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No
8,Do you love the feeling of the dots connecting ?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No
9,Do you love diving deep into the topics that interest you ?,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No,No
10,Do you have very specific interests (that mostly concern finding yourself and why you are the way you are) and being not interested in the 'overall knowledge' ?,Yes,Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No
11,"Do you have a huge fear of failure or making mistakes, which prevents you from starting new projects ? Do you need to be 100% sure you are competent enough to freely start a new task ?",Yes,No,No,No,No,No,No,No,Yes,No,No,No,No,No,No,No
12,Do you overcomplicate your life by overthinking things and taking a route that is very complicated when there is a much easier way to do things ?,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No
13,Do you love knowing things for sure ? And hating when you can't get closure on a topic ?,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes
14,Are you a decisive person ?,Yes,No,No,Yes,Yes,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes
15,Do you like narrowing your options down ?,Yes,No,No,No,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes
16,Are you very good at remembering symbols and their meanings ?,Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No,No
17,Do you have a very good spatial memory ? Do you have a map of some places in your head ?,No,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No
18,Does Peace is very important to you ? Do you hate getting in conflicts ? Would you do anything to solve a conflict ?,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,No,No
19,Are you very good at solving conflicts between other people because you can understand both sides ?,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes
20,Are very good at understanding other people's perspectives ? Do you like to put yourself in someone else shoes ?,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No
21,"Do you have a lot of respect for the fact that people can have a different way of thinking than me, and you rarely try to convince them you are right ?",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,No,No
22,Do you love classifying things and putting them into folders (both mental and real) ?,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes
23,"Do your thought process is slower than other people's, so you come up with a few good ideas instead of many ideas ?",No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
24,"Does your favorite topic to talk about is people ? Do you love analyzing them, their behaviors, their ways of thinking, etc. ?",Yes,No,Yes,Yes,No,No,No,No,Yes,No,Yes,Yes,No,No,No,No
25,"Does Meaning is more important to you than pure facts, making you want to understand what's going on behind the scenes ?",Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No
26,"Does authenticity and sincerity are important to you, making you hate when others seem fake or insincere ?",Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
27,Do you only share your deepest feelings with your closest friends and family ?,Yes,Yes,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes
28,"Do you feel responsible for other people's feelings, and do you adjust your behavior to make them feel comfortable to the point that you forget about yourself ?",Yes,Yes,Yes,Yes,No,No,No,No,Yes,No,No,Yes,No,No,No,No
29,Do you love connecting with people on a deep level ? That's why you prefer one on one conversations,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,No,No,No,No
30,Do you like the feeling of belonging to a community and finding common ground with people ?,Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,Yes,Yes
31,"Are you in tune with other people's emotions, and do you try to fulfill their needs ?",Yes,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Yes,Yes,No,No,No,No
32,Do you prefer helping people close to you than fighting for a whole community ?,Yes,Yes,No,No,No,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No
33,Do you like more change than being very cautious when starting something new ?,No,No,Yes,Yes,No,No,Yes,Yes,No,No,Yes,No,No,No,Yes,No
34,Are you more the type of person who loves wearing a favorite sweater or eating a favorite meal often than someone trying out new things ?,No,Yes,No,No,No,No,No,No,Yes,Yes,No,Yes,Yes,No,No,No
35,"Are you in tune with my internal bodily sensations like pain, hunger, and thirst ?",No,Yes,No,No,No,No,No,No,No,Yes,Yes,No,No,No,No,No
36,"When you take in new information, do you try to categorize it and fit it into a folder in your mind ?",Yes,No,No,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,Yes,No,Yes
37,Can you do mindless repetitive tasks ? They relax you because you can think about other things and you don't have to focus too much,Yes,No,No,Yes,No,No,No,No,Yes,Yes,No,Yes,Yes,Yes,No,Yes
38,"Can come up with ways of solving a problem others wouldn't even think about ? When they ask you how you came up with it, you say that idk it was just obvious to you.",Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,Yes,No
